LNR,RESPONSE
1754,0.0021646182427906783
1770,0.006355117861486164
1465,0.003921925667015039
1470,0.13796297913636804
1478,0.006844338941375212
1782,0.04817699059307534
1485,0.0020139939423720376
1519,0.07928583608360268
1835,0.07109957569876373
1522,0.03478656728381888
1539,0.26653670678993135
1853,0.16039276744430792
1856,0.20681446634969258
2502,0.04489962337489092
2182,0.003304133975511777
2191,0.2514860143177991
2522,0.00203351884871553
2530,0.14794517396293555
2215,0.002422737217428171
2550,0.08211043388771794
2570,0.002126110041383927
2574,0.33006249088622863
2579,0.006136414225818425
2247,0.0020222400565566515
2674,0.04567451261363884
11434,0.013907870962779489
11122,0.0627939459801024
11127,0.002042060590280393
11443,0.35710782189642243
11170,0.06915479747957658
11191,0.0728955860840387
11198,0.03656422004980586
10936,0.012996834634224071
11244,0.3728624105566543
11247,0.010314372697057086
11252,0.049293835313468926
11259,0.06909985601512528
10945,0.00891154305968608
10951,0.07990749943184582
11271,0.027790324217838083
10963,0.0035715537515886163
11282,0.007124733101828672
11291,0.08773317624946005
10980,0.31998853507285785
10994,0.2321004432915598
10998,0.06915479747957658
11303,0.18876324297429603
11630,0.003372897375595133
11636,0.003338203614682103
11949,0.002377472919000195
11950,0.009247349142985285
11956,0.0396881641457509
11648,0.06915479747957658
11653,0.3542364931308007
11967,0.014997931093091794
11972,0.2745876357168418
11975,0.3510556331079611
12110,0.027819057535931075
12113,0.014837619413738179
11712,0.4265516213986823
11716,0.012985886609339428
12000,0.008923685982838828
11722,0.427458869829106
12023,0.06915479747957658
12046,0.2368436575653469
11762,0.06909985601512528
12071,0.0022218673451915717
12077,0.0551032452805736
11785,0.24572245703539242
11788,0.06511442116164635
11790,0.4120780249425025
11800,0.024274089001223603
11806,0.38145305979999494
11816,0.22852571336738245
11505,0.331610517293634
11837,0.002145883920847034
11531,0.0019070540709356725
11848,0.0167770660141546
11854,0.38629893432709195
11877,0.06558309928469341
11563,0.0956479170096739
11567,0.0022483206906727298
11894,0.001880958973325146
11906,0.03736799958818133
11917,0.06915479747957658
11610,0.06915479747957658
11923,0.017754054171644804
12596,0.32174292503030044
12603,0.1849757204114933
12608,0.13067872391924956
12633,0.35933585286449815
12637,0.04613860613740743
21484,0.06909985601512528
21184,0.12291989818178928
21247,0.015439513327108719
20991,0.025090308316870213
21018,0.043999225744403445
21019,0.026265645180682144
21047,0.3327617169860781
21054,0.014012275576716096
21374,0.009064542436033295
21392,0.005652814123751959
21713,0.028401691375186677
22019,0.12426877352319438
22025,0.0757616511552717
21722,0.0019606107966863317
21728,0.43297484536761216
22039,0.06915479747957658
22044,0.002494966508102334
61900,0.01454954893013005
62548,0.0033855386771794093
63176,0.33495827126248906
64473,0.0017448254306947212
64779,0.005724940352962423
64780,0.03954098869108286
64784,0.04794321025420599
65105,0.06915479747957658
65431,0.16457456177610175
65433,0.08829230978986033
66055,0.00279508357269118
66071,0.06915479747957658
61280,0.43786112971368185
61281,0.02657880914784164
61284,0.23678831179067758
61597,0.05054357654106512
61606,0.21395806485364088
62235,0.44317623146672086
62240,0.046824498433326804
62241,0.06504893056878736
62555,0.05292068888375871
62557,0.06710250492924821
62565,0.17349317038664314
62566,0.43937726398289007
63515,0.04663160747055696
63524,0.4071187917016229
64797,0.4363043425907185
65116,0.012985886609339428
75249,0.015814070846758434
75253,0.03813930471601019
75575,0.01300779176743035
76212,0.4110980411825788
71422,0.014849070336659045
72059,0.007838569861001524
72060,0.021809071692528798
72383,0.07545952655101672
72386,0.049478064900176484
72700,0.43363855914072685
72715,0.020819417721853216
73028,0.11898789087223294
73346,0.00627157538363274
73658,0.00359214096564075
73662,0.08151752350003419
73666,0.0687424396357464
73668,0.06733052553840554
73985,0.1551656111005205
74299,0.002474559552884205
74310,0.0864772047835744
74312,0.047388351159530766
74619,0.04433866994527132
74620,0.006509817022288839
74627,0.012404184108595022
74938,0.012944026974416996
74952,0.0821746863140863
75911,0.12567722810712784
75913,0.0023803176965926775
76221,0.017559516893039445
76227,0.39086498844222545
71448,0.07639691158594819
15887,0.3492032195273093
15498,0.4445624613691268
15504,0.007507006209213879
15507,0.43524243079875263
15521,0.0022340651686211404
24403,0.14822302876967197
24100,0.09654032120988124
24436,0.3533392591572289
24440,0.018429224691293104
24442,0.012996834634224071
24148,0.018238340744513172
24149,0.08905969709252287
24155,0.0024961728392320064
24458,0.07937726461590106
24169,0.06112037900033779
24477,0.2324218627716282
24479,0.1601469971140996
24486,0.04631415886007027
24190,0.028085602561854897
24515,0.001934841930587018
24214,0.05165209034188795
25183,0.06915479747957658
25207,0.09130268696450933
24889,0.24361404818701643
24890,0.21257899165243754
25226,0.06804096859410008
25232,0.06877037957176721
25244,0.3206998477056648
25339,0.3351317810143449
25355,0.21289911416049387
24958,0.08171682432456523
25277,0.14096655282922801
25286,0.045063197083630956
24988,0.06915479747957658
25298,0.015485781692480815
25309,0.0034027651690095514
25315,0.01657522595586539
25014,0.01300779176743035
25322,0.2746353884620006
25333,0.017246365782678037
25025,0.03813966293962706
24726,0.0020574866086423226
24735,0.06909985601512528
25055,0.04407421698210092
25056,0.015967133920596194
24746,0.0020598858368202563
25061,0.10049180339866912
25067,0.039878860871453814
25074,0.0450234660226591
24773,0.006808418035435452
25080,0.06909985601512528
25086,0.36171352729353035
25088,0.4148029752946243
24777,0.002317331433699975
24796,0.4267346482236152
25104,0.005477575859910987
24806,0.04869208816509842
25118,0.13041376610619643
24822,0.01300779176743035
82811,0.02888376592370996
83449,0.43740690001548044
83459,0.06909985601512528
83770,0.06915479747957658
84091,0.0036227979661245333
84096,0.08315979961766987
84737,0.3129943527858906
85048,0.06904495496239055
85049,0.003104325607253957
85051,0.12410940781388814
85369,0.30965100954017527
85374,0.44600108375068903
85380,0.00292135532463799
82190,0.014330783450866642
